# GSV_1,GSV_2,GSV_3,nw,kw
0.607750,-0.212200,0.217630,1.330000,0.000416
0.611920,-0.212650,0.217210,1.330000,0.000411
0.616170,-0.213120,0.216780,1.330000,0.000409
0.620490,-0.213600,0.216330,1.330000,0.000418
0.624890,-0.214080,0.215820,1.330000,0.000427
0.629350,-0.214550,0.215260,1.330000,0.000427
0.633880,-0.214980,0.214610,1.330000,0.000423
0.638470,-0.215360,0.213880,1.330000,0.000424
0.643120,-0.215690,0.213040,1.330000,0.000429
0.647830,-0.215940,0.212080,1.330000,0.000437
0.652590,-0.216130,0.211010,1.330000,0.000445
0.657410,-0.216250,0.209840,1.330000,0.000451
0.662280,-0.216320,0.208580,1.330000,0.000456
0.667190,-0.216330,0.207250,1.330000,0.000463
0.672160,-0.216290,0.205840,1.330000,0.000470
0.677170,-0.216220,0.204380,1.330000,0.000475
0.682230,-0.216100,0.202870,1.330000,0.000480
0.687330,-0.215950,0.201330,1.330000,0.000488
0.692470,-0.215780,0.199760,1.330000,0.000495
0.697660,-0.215580,0.198180,1.330000,0.000498
0.702880,-0.215360,0.196570,1.330000,0.000503
0.708150,-0.215110,0.194940,1.330000,0.000514
0.713450,-0.214810,0.193270,1.330000,0.000527
0.718790,-0.214470,0.191550,1.330000,0.000536
0.724170,-0.214090,0.189790,1.330000,0.000544
0.729580,-0.213640,0.187960,1.330000,0.000553
0.735030,-0.213140,0.186060,1.330000,0.000564
0.740520,-0.212570,0.184090,1.330000,0.000576
0.746040,-0.211920,0.182040,1.330000,0.000588
0.751590,-0.211200,0.179890,1.330000,0.000600
0.757170,-0.210400,0.177660,1.330000,0.000611
0.762770,-0.209530,0.175350,1.330000,0.000622
0.768380,-0.208590,0.172960,1.330000,0.000631
0.774010,-0.207580,0.170510,1.330000,0.000639
0.779630,-0.206510,0.168000,1.330000,0.000646
0.785240,-0.205370,0.165420,1.330000,0.000652
0.790850,-0.204170,0.162800,1.330000,0.000658
0.796430,-0.202910,0.160130,1.330000,0.000665
0.801990,-0.201590,0.157430,1.330000,0.000672
0.807520,-0.200220,0.154680,1.330000,0.000679
0.813010,-0.198800,0.151910,1.330000,0.000686
0.818470,-0.197330,0.149100,1.330000,0.000692
0.823890,-0.195790,0.146260,1.330000,0.000699
0.829270,-0.194200,0.143390,1.330000,0.000708
0.834610,-0.192560,0.140480,1.330000,0.000718
0.839900,-0.190850,0.137550,1.330000,0.000726
0.845150,-0.189090,0.134580,1.330000,0.000734
0.850360,-0.187260,0.131580,1.330000,0.000746
0.855510,-0.185380,0.128550,1.330000,0.000759
0.860610,-0.183430,0.125490,1.330000,0.000773
0.865650,-0.181430,0.122410,1.330000,0.000787
0.870620,-0.179380,0.119320,1.330000,0.000802
0.875490,-0.177280,0.116230,1.330000,0.000819
0.880260,-0.175150,0.113160,1.330000,0.000839
0.884910,-0.172980,0.110100,1.330000,0.000858
0.889440,-0.170780,0.107080,1.330000,0.000875
0.893820,-0.168570,0.104110,1.330000,0.000896
0.898050,-0.166330,0.101190,1.330000,0.000924
0.902100,-0.164090,0.098340,1.330000,0.000952
0.905980,-0.161850,0.095560,1.330000,0.000975
0.909690,-0.159600,0.092850,1.330000,0.001000
0.913250,-0.157350,0.090210,1.330000,0.001040
0.916660,-0.155110,0.087630,1.330000,0.001080
0.919940,-0.152870,0.085110,1.330000,0.001120
0.923100,-0.150640,0.082640,1.330000,0.001160
0.926160,-0.148430,0.080210,1.330000,0.001200
0.929130,-0.146230,0.077830,1.330000,0.001250
0.932020,-0.144040,0.075490,1.330000,0.001300
0.934850,-0.141880,0.073180,1.330000,0.001360
0.937620,-0.139730,0.070900,1.330000,0.001410
0.940330,-0.137620,0.068660,1.330000,0.001460
0.942980,-0.135520,0.066450,1.330000,0.001510
0.945560,-0.133460,0.064290,1.330000,0.001570
0.948060,-0.131420,0.062190,1.330000,0.001640
0.950490,-0.129420,0.060140,1.330000,0.001700
0.952820,-0.127450,0.058150,1.330000,0.001760
0.955070,-0.125520,0.056240,1.330000,0.001860
0.957210,-0.123630,0.054400,1.330000,0.002040
0.959250,-0.121770,0.052650,1.330000,0.002220
0.961180,-0.119960,0.050980,1.330000,0.002320
0.963010,-0.118180,0.049400,1.330000,0.002370
0.964730,-0.116450,0.047910,1.330000,0.002400
0.966360,-0.114760,0.046510,1.330000,0.002450
0.967900,-0.113120,0.045200,1.330000,0.002520
0.969340,-0.111520,0.043970,1.330000,0.002590
0.970710,-0.109960,0.042830,1.330000,0.002630
0.972000,-0.108440,0.041790,1.330000,0.002650
0.973210,-0.106970,0.040830,1.330000,0.002670
0.974350,-0.105540,0.039960,1.330000,0.002690
0.975430,-0.104150,0.039170,1.330000,0.002700
0.976450,-0.102800,0.038470,1.330000,0.002720
0.977400,-0.101480,0.037830,1.330000,0.002730
0.978290,-0.100180,0.037250,1.330000,0.002740
0.979110,-0.098890,0.036720,1.330000,0.002750
0.979880,-0.097600,0.036230,1.330000,0.002760
0.980580,-0.096300,0.035770,1.330000,0.002780
0.981220,-0.095000,0.035330,1.330000,0.002790
0.981810,-0.093670,0.034890,1.330000,0.002800
0.982330,-0.092310,0.034460,1.330000,0.002810
0.982790,-0.090920,0.034010,1.330000,0.002820
0.983210,-0.089500,0.033550,1.330000,0.002840
0.983590,-0.088040,0.033070,1.330000,0.002850
0.983940,-0.086560,0.032580,1.330000,0.002870
0.984270,-0.085050,0.032060,1.330000,0.002880
0.984600,-0.083530,0.031530,1.330000,0.002890
0.984920,-0.081990,0.030970,1.330000,0.002910
0.985260,-0.080430,0.030380,1.330000,0.002920
0.985630,-0.078870,0.029760,1.330000,0.002940
0.986030,-0.077310,0.029110,1.330000,0.002960
0.986460,-0.075750,0.028430,1.330000,0.002970
0.986940,-0.074190,0.027720,1.330000,0.002990
0.987450,-0.072630,0.026990,1.330000,0.003000
0.987980,-0.071080,0.026250,1.330000,0.003010
0.988540,-0.069540,0.025510,1.330000,0.003020
0.989110,-0.068010,0.024770,1.330000,0.003040
0.989690,-0.066500,0.024030,1.330000,0.003060
0.990280,-0.065010,0.023320,1.330000,0.003080
0.990860,-0.063540,0.022620,1.330000,0.003090
0.991440,-0.062090,0.021960,1.330000,0.003110
0.992000,-0.060670,0.021330,1.330000,0.003130
0.992550,-0.059260,0.020740,1.330000,0.003140
0.993080,-0.057880,0.020170,1.330000,0.003160
0.993600,-0.056510,0.019640,1.330000,0.003180
0.994090,-0.055160,0.019130,1.330000,0.003200
0.994550,-0.053810,0.018650,1.330000,0.003220
0.994980,-0.052460,0.018180,1.330000,0.003240
0.995390,-0.051110,0.017730,1.330000,0.003260
0.995760,-0.049760,0.017290,1.330000,0.003290
0.996100,-0.048400,0.016870,1.330000,0.003320
0.996400,-0.047030,0.016450,1.330000,0.003340
0.996670,-0.045640,0.016030,1.330000,0.003360
0.996910,-0.044240,0.015620,1.330000,0.003390
0.997130,-0.042830,0.015200,1.330000,0.003420
0.997330,-0.041410,0.014780,1.330000,0.003460
0.997520,-0.039970,0.014350,1.330000,0.003510
0.997690,-0.038520,0.013910,1.330000,0.003570
0.997870,-0.037050,0.013450,1.330000,0.003640
0.998050,-0.035560,0.012970,1.330000,0.003710
0.998230,-0.034060,0.012480,1.330000,0.003790
0.998430,-0.032540,0.011960,1.330000,0.003870
0.998630,-0.031010,0.011420,1.330000,0.003930
0.998840,-0.029460,0.010860,1.330000,0.003980
0.999050,-0.027880,0.010290,1.330000,0.004020
0.999250,-0.026290,0.009700,1.330000,0.004050
0.999440,-0.024690,0.009100,1.330000,0.004070
0.999620,-0.023060,0.008490,1.330000,0.004090
0.999780,-0.021410,0.007870,1.330000,0.004100
0.999920,-0.019740,0.007240,1.330000,0.004110
1.000000,-0.018060,0.006620,1.330000,0.004120
1.000100,-0.016350,0.005990,1.330000,0.004140
1.000200,-0.014620,0.005360,1.330000,0.004150
1.000200,-0.012870,0.004730,1.330000,0.004160
1.000200,-0.011090,0.004080,1.330000,0.004170
1.000200,-0.009300,0.003440,1.330000,0.004200
1.000200,-0.007480,0.002780,1.330000,0.004220
1.000200,-0.005650,0.002110,1.330000,0.004250
1.000100,-0.003790,0.001420,1.330000,0.004270
1.000100,-0.001900,0.000720,1.330000,0.004290
1.000000,0.000000,0.000000,1.330000,0.004320
0.999940,0.001930,-0.000740,1.330000,0.004350
0.999870,0.003880,-0.001490,1.330000,0.004380
0.999800,0.005840,-0.002270,1.330000,0.004420
0.999730,0.007830,-0.003060,1.330000,0.004460
0.999660,0.009840,-0.003870,1.330000,0.004500
0.999590,0.011860,-0.004690,1.330000,0.004550
0.999510,0.013890,-0.005530,1.330000,0.004590
0.999430,0.015940,-0.006380,1.330000,0.004650
0.999350,0.018000,-0.007240,1.330000,0.004700
0.999260,0.020070,-0.008120,1.330000,0.004760
0.999170,0.022160,-0.009000,1.330000,0.004830
0.999080,0.024250,-0.009890,1.330000,0.004900
0.998990,0.026340,-0.010800,1.330000,0.004990
0.998890,0.028450,-0.011710,1.330000,0.005070
0.998780,0.030570,-0.012620,1.330000,0.005150
0.998670,0.032690,-0.013540,1.330000,0.005240
0.998550,0.034820,-0.014470,1.330000,0.005350
0.998420,0.036960,-0.015400,1.330000,0.005470
0.998280,0.039110,-0.016330,1.330000,0.005590
0.998130,0.041260,-0.017260,1.330000,0.005720
0.997960,0.043420,-0.018200,1.330000,0.005860
0.997790,0.045590,-0.019130,1.330000,0.006000
0.997610,0.047770,-0.020070,1.330000,0.006150
0.997420,0.049940,-0.021010,1.330000,0.006300
0.997230,0.052130,-0.021940,1.330000,0.006460
0.997030,0.054320,-0.022880,1.330000,0.006630
0.996830,0.056510,-0.023820,1.330000,0.006800
0.996630,0.058700,-0.024760,1.330000,0.006990
0.996430,0.060900,-0.025710,1.330000,0.007200
0.996230,0.063090,-0.026650,1.330000,0.007420
0.996040,0.065290,-0.027600,1.330000,0.007650
0.995850,0.067490,-0.028540,1.330000,0.007890
0.995660,0.069680,-0.029480,1.330000,0.008160
0.995460,0.071870,-0.030410,1.330000,0.008450
0.995260,0.074050,-0.031320,1.330000,0.008760
0.995050,0.076220,-0.032220,1.330000,0.009110
0.994820,0.078380,-0.033100,1.330000,0.009480
0.994570,0.080530,-0.033950,1.330000,0.009870
0.994310,0.082660,-0.034770,1.330000,0.010300
0.994020,0.084770,-0.035560,1.330000,0.010700
0.993710,0.086860,-0.036320,1.330000,0.011200
0.993370,0.088940,-0.037040,1.330000,0.011700
0.993010,0.090990,-0.037730,1.330000,0.012200
0.992630,0.093020,-0.038400,1.330000,0.012700
0.992230,0.095040,-0.039030,1.330000,0.013200
0.991810,0.097040,-0.039640,1.330000,0.013700
0.991370,0.099030,-0.040240,1.330000,0.014300
0.990920,0.101000,-0.040810,1.330000,0.014900
0.990450,0.102950,-0.041360,1.330000,0.015500
0.989970,0.104900,-0.041900,1.330000,0.016200
0.989480,0.106830,-0.042430,1.330000,0.017000
0.988980,0.108740,-0.042940,1.330000,0.017900
0.988460,0.110640,-0.043430,1.330000,0.018900
0.987930,0.112530,-0.043910,1.330000,0.019900
0.987390,0.114400,-0.044360,1.330000,0.021000
0.986830,0.116250,-0.044790,1.330000,0.022100
0.986250,0.118080,-0.045190,1.330000,0.023100
0.985650,0.119900,-0.045560,1.330000,0.023900
0.985040,0.121690,-0.045900,1.330000,0.024700
0.984400,0.123470,-0.046210,1.330000,0.025300
0.983750,0.125220,-0.046480,1.330000,0.025800
0.983070,0.126940,-0.046710,1.330000,0.026200
0.982370,0.128650,-0.046910,1.330000,0.026500
0.981640,0.130330,-0.047070,1.330000,0.026700
0.980890,0.131980,-0.047180,1.330000,0.026900
0.980110,0.133610,-0.047260,1.330000,0.027000
0.979290,0.135200,-0.047290,1.330000,0.027100
0.978450,0.136770,-0.047280,1.330000,0.027200
0.977580,0.138310,-0.047230,1.330000,0.027300
0.976670,0.139820,-0.047130,1.330000,0.027300
0.975720,0.141300,-0.046990,1.330000,0.027400
0.974740,0.142740,-0.046800,1.330000,0.027400
